lila_id	lemma_latin	lemma_greek	certainty	written_representation	lemma_variant	compound	lsj_cite_urn
http://lila-erc.eu/data/id/lemma/105183	harpago	ἀρπάζω					
http://lila-erc.eu/data/id/lemma/105184	harpago	ἀρπαγή					
http://lila-erc.eu/data/id/lemma/105185	harpastum	ἁρπαστόν					
http://lila-erc.eu/data/id/lemma/105186	harpax	ἅρπαξ					
http://lila-erc.eu/data/id/lemma/105187	harpe	ἅρπη					
http://lila-erc.eu/data/id/lemma/105218	hebdomas	ἑβδομάς					
http://lila-erc.eu/data/id/lemma/105996	hebenus	ἔβενος					
http://lila-erc.eu/data/id/lemma/105227	hecatombe	ἑκατόμβη					
http://lila-erc.eu/data/id/lemma/105233	hecyra	ἑκυρά					
http://lila-erc.eu/data/id/lemma/105239	hedycrum	ἡδύχρουν					
http://lila-erc.eu/data/id/lemma/105248	helciarius	ἕλκω					
http://lila-erc.eu/data/id/lemma/105249	helcium	ἕλκω					
http://lila-erc.eu/data/id/lemma/105267	helix	ἕλιξ					
http://lila-erc.eu/data/id/lemma/105271	helops	ἔλλοψ		ἔλοψ			
http://lila-erc.eu/data/id/lemma/105284	hemerodromos	ἡμεροδρόμος					
http://lila-erc.eu/data/id/lemma/105286	hemicillus					ἥμισυς κιλλός	
http://lila-erc.eu/data/id/lemma/105171	hemicyclium	ἡμικύκλιον					
http://lila-erc.eu/data/id/lemma/105294	hemina	ἡμίνα					
http://lila-erc.eu/data/id/lemma/105298	hemisphaerium	ἡμισφαίριον					
http://lila-erc.eu/data/id/lemma/105303	hemitonion	ἡμιτόνιον					
http://lila-erc.eu/data/id/lemma/105305	hemitritaeos	ἡμιτριταῖος					
http://lila-erc.eu/data/id/lemma/135817	hendecasyllabi	ἑνδεκασύλλαβοι					
http://lila-erc.eu/data/id/lemma/135819	hepatarius	ἧπαρ					
http://lila-erc.eu/data/id/lemma/105314	hepatia	ἡπάτια			ἡπάτιον		
http://lila-erc.eu/data/id/lemma/105325	hephthemimeres	ἑφθημιμερής					
http://lila-erc.eu/data/id/lemma/105336	heptapylos	ἑπτάπυλος					
http://lila-erc.eu/data/id/lemma/105338	heptasemos	ἑπτάσημος					
http://lila-erc.eu/data/id/lemma/105340	heptasyllabus	ἑπτασύλλαβος					
http://lila-erc.eu/data/id/lemma/105342	hepteris	ἑπτήρης					
http://lila-erc.eu/data/id/lemma/105365	hermaphroditus	ἑρμαφρόδιτος					
http://lila-erc.eu/data/id/lemma/105394	heroicus	ἡρωϊκός					
http://lila-erc.eu/data/id/lemma/105397	heroine	ἡρωΐνη					
http://lila-erc.eu/data/id/lemma/105400	herois	ἡρωΐς					
http://lila-erc.eu/data/id/lemma/105401	heros	ἥρως					
http://lila-erc.eu/data/id/lemma/105402	herous	ἡρῷος					
