lila_id,lemma_latin,lemma_greek,certainty,written_representation,lemma_variant,compound,lsj_exactMatch,lsj_broadMatch,lsj_relatedMatch
http://lila-erc.eu/data/id/lemma/99172,diacope,διακοπή,,,,,n25003,,
http://lila-erc.eu/data/id/lemma/99178,diadema,διάδημα,,,,,n24702,,
http://lila-erc.eu/data/id/lemma/99186,diaeresis,διαίρεσις,,,,,n24841,,
http://lila-erc.eu/data/id/lemma/99187,diaeta,δίαιτα,,,,,n24856,,
http://lila-erc.eu/data/id/lemma/99196,diagonalis,,,,,διὰ γωνιά,,,n24674
http://lila-erc.eu/data/id/lemma/99198,diagonion,διαγώνιος,,,,,n24674,,
http://lila-erc.eu/data/id/lemma/99199,diagramma,διάγραμμα,,,,,n24648,,
http://lila-erc.eu/data/id/hypolemma/12204,dialectice,διαλεκτική,,,,,n25129,,
http://lila-erc.eu/data/id/lemma/99202,dialecticus,διαλεκτικός,,,,,n25129,,
http://lila-erc.eu/data/id/lemma/99206,dialectos,διάλεκτος,,,,,n25130,,
http://lila-erc.eu/data/id/lemma/99215,dialogus,διάλογος,,,,,n25175,,
http://lila-erc.eu/data/id/lemma/99233,diapasma,διάπασμα,,,,,n25465,,
http://lila-erc.eu/data/id/lemma/99255,diastole,διαστολή,,,,,n25931,,
http://lila-erc.eu/data/id/lemma/99267,diatretus,διάτρητος,,,,,n26113,,
http://lila-erc.eu/data/id/lemma/4875,diaulus,δίαυλος,,,,,n26170,,
http://lila-erc.eu/data/id/lemma/99276,dibaphus,δίβαφος,,,,,n26372,,
http://lila-erc.eu/data/id/lemma/99278,dibrachys,δίβραχυς,,,,,n26380,,
http://lila-erc.eu/data/id/lemma/99280,dica,δίκη,,,,,n26943,,
http://lila-erc.eu/data/id/lemma/99293,dichoreus,διχόρειος,,διτρόχαιος,,,n27690,,
http://lila-erc.eu/data/id/lemma/99304,dicrotum,δίκροτον,,,,,n26999,,
http://lila-erc.eu/data/id/lemma/99306,dictamnus,δίκταμνος,,,δίκταμνον,,n27004,,
http://lila-erc.eu/data/id/lemma/99324,didascalica,διδασκαλικά,,,,,n26409,,
http://lila-erc.eu/data/id/hypolemma/12294,didascalice,διδασκαλική,,,,,n26409,,
http://lila-erc.eu/data/id/lemma/99380,digamma,δίγαμμα,,,,,n26382,,
http://lila-erc.eu/data/id/lemma/99483,dimachae,δίμαχαι,,,,,n27062,,
http://lila-erc.eu/data/id/lemma/99484,dimachaerus,διμάχαιρος,,,,,n27062,,
http://lila-erc.eu/data/id/lemma/99489,dimeter,δίμετρος,,,,,n27068,,
http://lila-erc.eu/data/id/lemma/99517,diobolaris,διώβολον,,,,,n27745,,
http://lila-erc.eu/data/id/lemma/99521,dioecesis,διοίκησις,,,,,n27150,,
http://lila-erc.eu/data/id/lemma/99522,dioecetes,διοικητής,,,,,n27151,,
